City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sao Felix Do Xingu,BR,-6.6447,-51.995,84.79,41,81,1.68,broken clouds
1,Souillac,MU,-20.5167,57.5167,73.78,78,40,9.22,scattered clouds
2,Albany,US,42.6001,-73.9662,58.57,90,100,1.01,overcast clouds
3,Pattoki,PK,31.0167,73.85,98.47,8,4,1.23,clear sky
4,Kruisfontein,ZA,-34.0033,24.7314,54.88,90,100,9.89,moderate rain
5,Mataura,NZ,-46.1927,168.8643,41.49,94,72,7.54,light rain
6,Russell,US,32.3502,-85.1999,88.92,62,20,8.05,few clouds
7,Hualmay,PE,-11.0964,-77.6139,70.66,74,49,10.63,scattered clouds
8,Port Lincoln,AU,-34.7333,135.8667,57.9,62,1,15.23,clear sky
9,Hobart,AU,-42.8794,147.3294,45.27,83,6,5.75,clear sky
10,Beidao,CN,34.5686,105.8933,60.75,73,100,4.07,overcast clouds
11,Torbay,CA,47.6666,-52.7314,52.88,75,75,25.32,broken clouds
12,Ketchikan,US,55.3422,-131.6461,46.87,87,75,3.44,broken clouds
13,Pangnirtung,CA,66.1451,-65.7125,32.0,80,75,10.36,broken clouds
14,Saldanha,ZA,-33.0117,17.9442,55.45,65,69,20.62,broken clouds
15,Hermanus,ZA,-34.4187,19.2345,58.39,55,96,9.84,overcast clouds
16,Bredasdorp,ZA,-34.5322,20.0403,56.57,54,94,5.79,overcast clouds
17,Terney,RU,45.0503,136.6092,50.7,71,88,5.41,overcast clouds
18,Maningrida,AU,-12.0667,134.2667,72.46,87,6,6.24,clear sky
19,Ushuaia,AR,-54.8,-68.3,55.02,76,20,2.3,few clouds
20,Carnarvon,AU,-24.8667,113.6333,70.43,68,41,13.06,scattered clouds
21,Matamoros,MX,25.5333,-103.25,94.87,8,33,7.23,scattered clouds
22,Rio Gallegos,AR,-51.6226,-69.2181,44.65,93,75,9.22,mist
23,Palauig,PH,15.435,119.9045,78.04,90,100,4.45,moderate rain
24,Bluff,NZ,-46.6,168.3333,41.81,74,97,16.67,overcast clouds
25,Leningradskiy,RU,69.3833,178.4167,28.44,88,58,4.21,broken clouds
26,College,US,64.8569,-147.8028,55.2,50,20,5.75,few clouds
27,Kiama,AU,-34.6833,150.8667,57.99,70,100,3.0,overcast clouds
28,Kytmanovo,RU,53.4593,85.4479,59.16,82,100,8.77,overcast clouds
29,Yinchuan,CN,38.4681,106.2731,69.37,29,24,2.3,few clouds
30,Butaritari,KI,3.0707,172.7902,81.5,68,51,13.78,broken clouds
31,Qaanaaq,GL,77.484,-69.3632,28.44,88,100,6.89,overcast clouds
32,Esperance,AU,-33.8667,121.9,61.27,75,51,6.58,broken clouds
33,Tres Arroyos,AR,-38.3739,-60.2798,57.74,34,100,12.73,overcast clouds
34,Georgetown,MY,5.4112,100.3354,82.35,88,20,2.3,few clouds
35,Knysna,ZA,-34.0363,23.0471,56.3,86,100,6.02,light rain
36,Ribeira Grande,PT,38.5167,-28.7,66.6,59,20,17.27,few clouds
37,Coihaique,CL,-45.5752,-72.0662,38.01,81,100,5.75,overcast clouds
38,Jamestown,US,42.097,-79.2353,61.95,88,100,16.11,overcast clouds
39,Shitanjing,CN,39.2342,106.3439,62.02,33,15,5.86,few clouds
40,Bacolod,PH,10.6667,122.95,80.31,78,64,1.19,broken clouds
41,Nangomba,TZ,-10.9,38.5,71.19,90,96,4.34,light rain
42,Vaitape,PF,-16.5167,-151.75,80.38,69,15,7.96,few clouds
43,Margate,GB,51.3813,1.3862,66.69,69,33,5.64,scattered clouds
44,Poum,NC,-20.2333,164.0167,77.58,78,2,3.36,clear sky
45,Alenquer,BR,-1.9417,-54.7383,75.31,93,100,2.48,overcast clouds
46,Yulara,AU,-25.2406,130.9889,53.76,69,3,9.55,clear sky
47,Rikitea,PF,-23.1203,-134.9692,76.6,78,92,13.27,overcast clouds
48,Punta Arenas,CL,-53.15,-70.9167,48.22,93,75,6.91,fog
49,Geraldton,AU,-28.7667,114.6,63.01,94,93,3.44,overcast clouds
50,Upernavik,GL,72.7868,-56.1549,29.59,82,14,10.96,few clouds
51,Puerto Colombia,CO,10.9878,-74.9547,89.69,74,100,5.14,overcast clouds
52,Busselton,AU,-33.65,115.3333,61.07,78,61,2.48,broken clouds
53,Atuona,PF,-9.8,-139.0333,77.7,64,30,10.25,scattered clouds
54,Hamilton,US,39.1834,-84.5333,81.73,77,75,6.91,haze
55,Hilo,US,19.7297,-155.09,89.28,86,20,5.99,few clouds
56,Praia Da Vitoria,PT,38.7333,-27.0667,64.65,82,40,14.81,scattered clouds
57,Bandar-E Lengeh,IR,26.5579,54.8807,86.11,70,0,6.91,haze
58,Leh,IN,34.1667,77.5833,50.86,38,99,7.94,overcast clouds
59,Zimovniki,RU,47.1483,42.4633,51.58,77,100,7.45,overcast clouds
60,Vila Do Maio,CV,15.1333,-23.2167,84.99,81,16,17.07,few clouds
61,Berbera,SO,10.4396,45.0143,91.6,46,82,6.38,broken clouds
62,Xichang,CN,27.8964,102.2634,58.6,92,98,2.04,overcast clouds
63,Beyneu,KZ,45.3167,55.2,76.87,29,13,6.4,few clouds
64,Alofi,NU,-19.0595,-169.9187,75.09,88,85,8.05,overcast clouds
65,Ozernovskiy,RU,51.5,156.5167,42.8,90,98,1.21,overcast clouds
66,Severnyy-Kospashskiy,RU,59.0925,57.8008,36.61,86,100,4.12,overcast clouds
67,Suket,IN,24.65,76.0333,98.47,12,0,4.32,clear sky
68,New Norfolk,AU,-42.7826,147.0587,44.92,74,7,2.64,clear sky
69,Kayes,ML,14.0,-11.0,105.08,9,82,4.25,broken clouds
70,Krasnoselkup,RU,65.7,82.4667,50.4,68,57,18.68,broken clouds
71,Tasiilaq,GL,65.6145,-37.6368,39.36,90,100,4.65,overcast clouds
72,Severo-Kurilsk,RU,50.6789,156.125,41.38,90,89,3.29,overcast clouds
73,Cubuk,TR,40.2386,33.0322,53.35,50,75,13.8,broken clouds
74,Lavrentiya,RU,65.5833,-171.0,31.73,94,90,6.64,overcast clouds
75,Puerto Ayora,EC,-0.7393,-90.3518,82.36,90,66,7.0,broken clouds
76,Barrow,US,71.2906,-156.7887,24.82,86,100,19.57,mist
77,Roblin,CA,51.23,-101.3565,38.19,95,100,18.86,moderate rain
78,Ambilobe,MG,-13.2,49.05,71.6,79,100,4.52,overcast clouds
79,Castro,BR,-24.7911,-50.0119,57.34,52,1,6.08,clear sky
80,Lokot,RU,52.565,34.5776,48.45,74,70,6.58,broken clouds
81,East London,ZA,-33.0153,27.9116,65.34,94,75,11.5,broken clouds
82,Hasaki,JP,35.7333,140.8333,61.29,80,100,14.5,overcast clouds
83,Port Alfred,ZA,-33.5906,26.891,59.18,95,95,5.01,moderate rain
84,Kutum,SD,14.2,24.6667,87.51,12,26,10.13,scattered clouds
